GoodID,GoodCode,Inventory quantity,Product GID,Variant GID,Inventory Item ID
244042,NTS1-T7.007MP,0,gid://shopify/Product/8644613210311,gid://shopify/ProductVariant/46277641797831,gid://shopify/InventoryItem/48398029750471
244346,NTS1-HS2010B-RC,0,gid://shopify/Product/8644603478215,gid://shopify/ProductVariant/46277632000199,gid://shopify/InventoryItem/48398019952839
244469,NTS1-MATIRX-02,0,gid://shopify/Product/8644606492871,gid://shopify/ProductVariant/46277635014855,gid://shopify/InventoryItem/48398022967495
244470,NTS1-MATIRX-04,0,gid://shopify/Product/8644606558407,gid://shopify/ProductVariant/46277635080391,gid://shopify/InventoryItem/48398023033031
244471,NTS1-MATIRX-08,0,gid://shopify/Product/8644606787783,gid://shopify/ProductVariant/46277635309767,gid://shopify/InventoryItem/48398023262407
244473,NTS1-MATIRX-06,0,gid://shopify/Product/8644606722247,gid://shopify/ProductVariant/46277635244231,gid://shopify/InventoryItem/48398023196871
244504,NTS1-MATIRX-100BP,0,gid://shopify/Product/8644606853319,gid://shopify/ProductVariant/46277635375303,gid://shopify/InventoryItem/48398023327943
244527,NTS1-YM002D,0,gid://shopify/Product/8644615307463,gid://shopify/ProductVariant/46277643894983,gid://shopify/InventoryItem/48398031847623
244528,NTS1-YM002B,0,gid://shopify/Product/8646022594759,gid://shopify/ProductVariant/46282658939079,gid://shopify/InventoryItem/48403105513671
244530,NTS1-YM002L,0,gid://shopify/Product/8644615405767,gid://shopify/ProductVariant/46277643993287,gid://shopify/InventoryItem/48398031945927
244716,NTS1-M8020TR,0,gid://shopify/Product/8644606329031,gid://shopify/ProductVariant/46277634851015,gid://shopify/InventoryItem/48398022803655
246629,NTS1-HX037BR,0,gid://shopify/Product/8644603642055,gid://shopify/ProductVariant/46277632164039,gid://shopify/InventoryItem/48398020116679
246631,NTS1-HX037W,0,gid://shopify/Product/8644603805895,gid://shopify/ProductVariant/46277632327879,gid://shopify/InventoryItem/48398020280519
247066,NTS1-C019BF,0,gid://shopify/Product/8644600922311,gid://shopify/ProductVariant/46277629411527,gid://shopify/InventoryItem/48398017265863
288694,NTS1-M05NS12,0,gid://shopify/Product/8644606066887,gid://shopify/ProductVariant/46277634588871,gid://shopify/InventoryItem/48398022541511
288695,NTS1-M06NY12,0,gid://shopify/Product/8644606132423,gid://shopify/ProductVariant/46277634687175,gid://shopify/InventoryItem/48398022639815
241504,NTS1-WKF-9301G,0,gid://shopify/Product/8644614357191,gid://shopify/ProductVariant/46277642944711,gid://shopify/InventoryItem/48398030864583
244033,NTS1-WKF-826,0,gid://shopify/Product/8644614291655,gid://shopify/ProductVariant/46277642846407,gid://shopify/InventoryItem/48398030799047
15275,NTS2-BYS1133-LID,0,gid://shopify/Product/8644541087943,gid://shopify/ProductVariant/46277559845063,gid://shopify/InventoryItem/48397947535559
42798,NTS2-DR520-250,0,gid://shopify/Product/8645869469895,gid://shopify/ProductVariant/46282246291655,gid://shopify/InventoryItem/48402691293383
42799,NTS2-DR520-260,0,gid://shopify/Product/8645869502663,gid://shopify/ProductVariant/46282246324423,gid://shopify/InventoryItem/48402691326151
42800,NTS2-DR520-670,0,gid://shopify/Product/8645869535431,gid://shopify/ProductVariant/46282246357191,gid://shopify/InventoryItem/48402691358919
42801,NTS2-DR520-690,0,gid://shopify/Product/8645869568199,gid://shopify/ProductVariant/46282246389959,gid://shopify/InventoryItem/48402691391687
42802,NTS2-BSC31-0250,0,gid://shopify/Product/8644310532295,gid://shopify/ProductVariant/46277190320327,gid://shopify/InventoryItem/48397575848135
