GID,specs.width_mm,specs.depth_mm,specs.height_mm,specs.weight_kg,specs.voltage,specs.hz,specs.wattage,specs.ampere,specs.chiller_door_amount,specs.chiller_capacity_liter,specs.chiller_temperature,specs.refrigerant,specs.spareparts_warranty,specs.service_warranty,specs.product_of,specs.certificates
gid://shopify/Product/8645497913543,1800,750,800,126,220,50,366,3,2,538,1°C~8°C,R134a,2 Years,1 Year,USA,"HACCP, CE, RoHS"
gid://shopify/Product/8646065324231,1800,750,800,135,220,50,366,3,1,538,1°C~8°C,R134a,2 Years,1 Year,USA,"HACCP, CE, RoHS"
gid://shopify/Product/8646065291463,1800,750,800,135,220,50,366,3,1,538,1°C~8°C,R134a,2 Years,1 Year,USA,"HACCP, CE, RoHS"
gid://shopify/Product/8646065422535,1800,750,800,144,220,50,366,3,,538,1°C~8°C,R134a,2 Years,1 Year,USA,"HACCP, CE, RoHS"
gid://shopify/Product/8646065389767,1800,750,800,144,220,50,366,3,,538,1°C~8°C,R134a,2 Years,1 Year,USA,"HACCP, CE, RoHS"
gid://shopify/Product/8645528387783,1800,750,800,144,220,50,366,3,,538,1°C~8°C,R134a,2 Years,1 Year,USA,"HACCP, CE, RoHS"
gid://shopify/Product/8646064865479,1800,750,800,109,220,50,366,3,3,538,1°C~8°C,R134a,2 Years,1 Year,USA,"HACCP, CE, RoHS"
gid://shopify/Product/8645472026823,1800,750,800,109,220,50,366,3,3,538,1°C~8°C,R134a,2 Years,1 Year,USA,"HACCP, CE, RoHS"
gid://shopify/Product/8646064931015,1800,750,800,109,220,50,366,3,3,538,1°C~8°C,R134a,2 Years,1 Year,USA,"HACCP, CE, RoHS"
gid://shopify/Product/8646064963783,1800,750,800,109,220,50,366,3,3,538,1°C~8°C,R134a,2 Years,1 Year,USA,"HACCP, CE, RoHS"
gid://shopify/Product/8646065029319,1800,750,800,109,220,50,366,3,3,538,1°C~8°C,R134a,2 Years,1 Year,USA,"HACCP, CE, RoHS"
gid://shopify/Product/8646065488071,900,750,800,72,220,50,314,2.3,1,198,1°C~8°C,R134a,2 Years,1 Year,USA,"HACCP, CE, RoHS"
gid://shopify/Product/8645471994055,900,750,800,72,220,50,314,2.3,1,198,1°C~8°C,R134a,2 Years,1 Year,USA,"HACCP, CE, RoHS"
gid://shopify/Product/8646065520839,900,750,800,72,220,50,314,2.3,1,198,1°C~8°C,R134a,2 Years,1 Year,USA,"HACCP, CE, RoHS"
gid://shopify/Product/8646065553607,900,750,800,84,220,50,314,2.3,,198,1°C~8°C,R134a,2 Years,1 Year,USA,"HACCP, CE, RoHS"
gid://shopify/Product/8645497946311,900,750,800,84,220,50,314,2.3,,198,1°C~8°C,R134a,2 Years,1 Year,USA,"HACCP, CE, RoHS"
gid://shopify/Product/8646065619143,900,750,800,84,220,50,314,2.3,,198,1°C~8°C,R134a,2 Years,1 Year,USA,"HACCP, CE, RoHS"
gid://shopify/Product/8646065651911,1200,750,800,92,220,50,316,3,1,136,1°C~8°C,R134a,2 Years,1 Year,USA,"HACCP, CE, RoHS"
gid://shopify/Product/8645471961287,1200,750,800,92,220,50,316,3,1,136,1°C~8°C,R134a,2 Years,1 Year,USA,"HACCP, CE, RoHS"
gid://shopify/Product/8646065717447,1200,750,800,92,220,50,316,3,1,136,1°C~8°C,R134a,2 Years,1 Year,USA,"HACCP, CE, RoHS"
gid://shopify/Product/8646065750215,1500,750,800,101,220,50,336,4.4,1,191,1°C~8°C,R404a,2 Years,1 Year,USA,"HACCP, CE, RoHS"
gid://shopify/Product/8645471928519,1500,750,800,101,220,50,336,4.4,1,191,1°C~8°C,R404a,2 Years,1 Year,USA,"HACCP, CE, RoHS"
gid://shopify/Product/8646065815751,1500,750,800,101,220,50,336,4.4,1,191,1°C~8°C,R404a,2 Years,1 Year,USA,"HACCP, CE, RoHS"
gid://shopify/Product/8646065848519,1800,750,800,120,220,50,366,4.4,2,314,1°C~8°C,R404a,2 Years,1 Year,USA,"HACCP, CE, RoHS"
gid://shopify/Product/8645480874183,1800,700,800,120,220,50,366,4.4,2,314,1°C~8°C,R404a,2 Years,1 Year,USA,"HACCP, CE, RoHS"
gid://shopify/Product/8645471862983,1800,750,800,120,220,50,366,4.4,2,314,1°C~8°C,R404a,2 Years,1 Year,USA,"HACCP, CE, RoHS"
gid://shopify/Product/8646065881287,1800,750,800,120,220,50,366,4.4,2,314,1°C~8°C,R404a,2 Years,1 Year,USA,"HACCP, CE, RoHS"
gid://shopify/Product/8645498011847,1350,586,802,95,220,50,290,3.5,3,286,1°C~8°C,R134a,2 Years,1 Year,USA,"HACCP, CE, RoHS"
gid://shopify/Product/8645560336583,600,586,802,55,220,50,270,2.5,1,117,1°C~8°C,R134a,2 Years,1 Year,USA,"HACCP, CE, RoHS"
gid://shopify/Product/8645498077383,900,586,802,70,220,50,270,2.5,1,184,1°C~8°C,R134a,2 Years,1 Year,USA,"HACCP, CE, RoHS"
gid://shopify/Product/8645498044615,900,586,802,70,220,50,270,2.5,1,184,1°C~8°C,R134a,2 Years,1 Year,USA,"HACCP, CE, RoHS"
gid://shopify/Product/8645471764679,660,640,1010,65,220,50,650,3.5,,,,R404a,2 Years,1 Year,USA,"HACCP, CE, RoHS"
gid://shopify/Product/8645471731911,500,640,800,45,220,50,380,2.1,,,,R404a,2 Years,1 Year,USA,"HACCP, CE, RoHS"
gid://shopify/Product/8645479825607,660,640,800,52,220,50,490,3.2,,,,R404a,2 Years,1 Year,USA,"HACCP, CE, RoHS"
TBA1-TIM-50A,500,640,800,45,220,50,380,2.1,,,,R404a,2 Years,1 Year,USA,"HACCP, CE, RoHS"
TBA1-TIM-75A,660,640,800,52,220,50,490,3.2,,,,R404a,2 Years,1 Year,USA,"HACCP, CE, RoHS"
