,GID,specs.width_mm,specs.length_mm,specs.height_mm,specs.packing_width,specs.packing_length_mm,specs.packing_height_mm,specs.gross_weight_kg,specs.net_weight_kg,specs.volume_mc,specs.rack_size_mm,specs.max_glass_height_mm,specs.usable_chamber_height_mm,specs.max_dishes_height_mm,specs.max_trays_height_mm,specs.construction,specs.door_construction,specs.tank_volume_l,specs.tank_heating_element_w,specs.tank_surface_strainers,specs.wash_pump_type,specs.max_water_consumption_lph,specs.max_water_consumption_lpr,specs.min_water_temp_c,specs.max_water_temp_c,specs.min_water_pressure_bar,specs.max_water_pressure_bar,specs.wash_temperature_c,specs.max_real_productivity_rph,specs.max_theoretical_productivity_rph,specs.boiler_volume_l,specs.boiler_type,specs.boiler_heating_element_w,specs.rinse_temperature_c,specs.rinse_water_consumption,specs.wash_cycle_sec,specs.productivity_speed_1_rph,specs.productivity_speed_2_rph,specs.voltage,specs.hz,specs.phrase,specs.ampere,specs.power_cold_water_w,specs.power_hot_water_w,specs.power_heat_recovery_w,specs.max_electric_power_w,specs.wash_pump_power_w,specs.drain_pump_power_w,specs.rinse_pump_power_w,specs.door_opening_cm,specs.self_cleaning_cycle,specs.rinse_aid_dispenser,specs.detergent_dispenser,specs.service_warranty,specs.spareparts_warranty,specs.pump_warranty,specs.made_in,specs.certificates
COG1-ISYTECH AP31-10.1,gid://shopify/Product/8645654937799,1150,770,1615,1280,920,1800,240,200,2.3,500x500,450,450,450,600 x 400,double skin,double skin and insulated,70,"10,500",Yescomposite,double flow,150,1.3,,,,,60,120,,17,-,"16,000 (50ยฐC) /
 28,500 (10ยฐC) / 
19,000 (10ยฐC+Recovery)",82,330 L/hour,-,200,100,400,50,,,28500,22000,24700,"28,500 (50ยฐC) / 41,000 (10ยฐC) / 31,500 (10ยฐC+Recovery)","1,500",,,45,-,Optional,Optional,1 Year,1 Year,5 Year,Italy,#N/A
COG1-STEELTECH34-00,gid://shopify/Product/8645533302983,436,535,670,610,520,840,34,31,0.27,390x390,300,320,300,,partial double skin,double skin,8,600,Yescomposite,double flow,,,50,60,2,4,60,30,40,2.6,pressurized,"2,600",65,1.5 L/rack,90-120,-,-,230,50,1N,16,,,,"3,500",200,40,-,,Yes,Yes,Optional,1 Year,1 Year,5 Year,Italy,"CE, ISO 9001, ISO 14001"
COG1-STEELTECH36-00,gid://shopify/Product/8645533237447,575,605,820,690,670,980,62,56,0.45,500x500,325,365,365,,partial double skin,double skin,20,"1,400",Yescomposite,double flow,,,15,60,2,4,60 (45->70),33,60,6,pressurized,"4,900",80 (60->88),2.0 L/rack,60-90-180,-,-,400,50,3N,16,,,,"6,800",470,40,200,,Yes,Yes,Optional,1 Year,1 Year,5 Year,Italy,"CE, ISO 9001, ISO 14001"
COG1-STEELTECH38-00,gid://shopify/Product/8645655298247,724,818,1529,760,840,1520,120,110,0.98,500x500,425,450,440,530 x 320,double skin,single skin,15,"2,100",Yescomposite,double flow,,,15,60,2-เม.ย.,1-เม.ย.,60 (55->65),45,60,6,pressurized,"7,000",80 (67->88),2.0 L/rack,60-90-180,-,-,400,50,3N,16,,,,"9,600",470,40,200,,Yes,Yes,Optional,1 Year,1 Year,5 Year,Italy,"CE, ISO 9001, ISO 14001"
COG1-TOPTECH32-23 D.7,gid://shopify/Product/8645645467847,1470,850,1960,1750,1100,2200,317,301,3.85,1320 x 700,800,850,800,800,Double wall construction with spaced walls,Split door with double wall,131,10500,Stainless steel integral tank filter,DuoFlow double flow pump,,,15,60,1,4,55 (55->65),20,30,17,Atmospheric with break tank and rinse pump,10500,80 (80->85),6.0-8.0 L/cycle,120-240-360-720,-,-,400,50,3N,32,,,,15900,2 x 2700,40,2 x 200,,Yes (ProClean),Yes (electronic control),Yes (electronic control),1 Year,1 Year,5 Year,Italy,"CE, ISO 9001, ISO 14001"
