name,namespace,key,type,description,filterable
Freezer Temperature,specs,freezer_temperature,single_line_text_field,,TRUE
Freezer Door Amount,specs,freezer_door_amount,single_line_text_field,,TRUE
Drawer Amount,specs,drawer_amount,single_line_text_field,,TRUE
Freezer Capacity Volume,specs,freezer_capacity_volume,single_line_text_field,,TRUE
Packing Width,specs,packing_width,single_line_text_field,,TRUE
Packing Length (mm),specs,packing_length_mm,single_line_text_field,,TRUE
Packing Height (mm),specs,packing_height_mm,single_line_text_field,,TRUE
Packing Weight (kg),specs,packing_weight_kg,single_line_text_field,,TRUE
Compressor Warranty,specs,compressor_warranty,single_line_text_field,,TRUE
