product_gid,status
gid://shopify/Product/8642985033927,QUEUED
gid://shopify/Product/8642985066695,QUEUED
gid://shopify/Product/8642985099463,QUEUED
gid://shopify/Product/8642985132231,QUEUED
gid://shopify/Product/8642985164999,QUEUED
gid://shopify/Product/8642985197767,QUEUED
gid://shopify/Product/8645597888711,QUEUED
gid://shopify/Product/8642985230535,QUEUED
gid://shopify/Product/8642985263303,QUEUED
gid://shopify/Product/8642985296071,QUEUED
gid://shopify/Product/8642985328839,QUEUED
gid://shopify/Product/8642985361607,QUEUED
gid://shopify/Product/8642985394375,QUEUED
gid://shopify/Product/8642985427143,QUEUED
gid://shopify/Product/8642985459911,QUEUED
gid://shopify/Product/8642985492679,QUEUED
gid://shopify/Product/8642985525447,QUEUED
gid://shopify/Product/8645975670983,QUEUED
gid://shopify/Product/8645975736519,QUEUED
gid://shopify/Product/8645975769287,QUEUED
gid://shopify/Product/8642985558215,QUEUED
gid://shopify/Product/8645975802055,QUEUED
gid://shopify/Product/8642985590983,QUEUED
gid://shopify/Product/8645975834823,QUEUED
gid://shopify/Product/8645975638215,QUEUED
gid://shopify/Product/8642985623751,QUEUED
gid://shopify/Product/8645975867591,QUEUED
gid://shopify/Product/8645558304967,QUEUED
gid://shopify/Product/8645975900359,QUEUED
gid://shopify/Product/8642973597895,QUEUED
gid://shopify/Product/8642984640711,QUEUED
gid://shopify/Product/8642985656519,QUEUED
gid://shopify/Product/8642985689287,QUEUED
gid://shopify/Product/8642985722055,QUEUED
gid://shopify/Product/8642985754823,QUEUED
gid://shopify/Product/8642985787591,QUEUED
gid://shopify/Product/8642985820359,QUEUED
gid://shopify/Product/8644784750791,QUEUED
gid://shopify/Product/8644374724807,QUEUED
gid://shopify/Product/8646024790215,QUEUED
gid://shopify/Product/8646024855751,QUEUED
gid://shopify/Product/8646024986823,QUEUED
gid://shopify/Product/8646025085127,QUEUED
gid://shopify/Product/8644374921415,QUEUED
gid://shopify/Product/8645526290631,QUEUED
gid://shopify/Product/8644374954183,QUEUED
gid://shopify/Product/8646025117895,QUEUED
gid://shopify/Product/8644730355911,QUEUED
gid://shopify/Product/8644376133831,QUEUED
gid://shopify/Product/8645496897735,QUEUED
gid://shopify/Product/8646026526919,QUEUED
gid://shopify/Product/8646026592455,QUEUED
gid://shopify/Product/8642985885895,QUEUED
gid://shopify/Product/8645658706119,QUEUED
gid://shopify/Product/8642985918663,QUEUED
gid://shopify/Product/8642985951431,QUEUED
gid://shopify/Product/8642985984199,QUEUED
gid://shopify/Product/8645499093191,QUEUED
gid://shopify/Product/8645499125959,QUEUED
gid://shopify/Product/8644377936071,QUEUED
gid://shopify/Product/8642986016967,QUEUED
gid://shopify/Product/8645662834887,QUEUED
gid://shopify/Product/8644763746503,QUEUED
gid://shopify/Product/8642986049735,QUEUED
gid://shopify/Product/8645562532039,QUEUED
gid://shopify/Product/8644512252103,QUEUED
gid://shopify/Product/8644739727559,QUEUED
gid://shopify/Product/8644502454471,QUEUED
gid://shopify/Product/8644502356167,QUEUED
gid://shopify/Product/8642986082503,QUEUED
gid://shopify/Product/8645671616711,QUEUED
gid://shopify/Product/8644754833607,QUEUED
gid://shopify/Product/8642986115271,QUEUED
gid://shopify/Product/8644691263687,QUEUED
gid://shopify/Product/8644691296455,QUEUED
gid://shopify/Product/8644691329223,QUEUED
gid://shopify/Product/8644691361991,QUEUED
gid://shopify/Product/8645601362119,QUEUED
gid://shopify/Product/8644691394759,QUEUED
gid://shopify/Product/8644763648199,QUEUED
gid://shopify/Product/8645516132551,QUEUED
gid://shopify/Product/8642986180807,QUEUED
gid://shopify/Product/8642986279111,QUEUED
gid://shopify/Product/8645960597703,QUEUED
gid://shopify/Product/8642986508487,QUEUED
gid://shopify/Product/8642986541255,QUEUED
gid://shopify/Product/8642986639559,QUEUED
gid://shopify/Product/8642986672327,QUEUED
gid://shopify/Product/8642986705095,QUEUED
gid://shopify/Product/8642986737863,QUEUED
gid://shopify/Product/8644674158791,QUEUED
gid://shopify/Product/8644678451399,QUEUED
gid://shopify/Product/8644676583623,QUEUED
gid://shopify/Product/8644374888647,QUEUED
gid://shopify/Product/8645540675783,QUEUED
gid://shopify/Product/8645669191879,QUEUED
gid://shopify/Product/8644376527047,QUEUED
gid://shopify/Product/8644690542791,QUEUED
gid://shopify/Product/8644678516935,QUEUED
gid://shopify/Product/8642986836167,QUEUED
gid://shopify/Product/8644678549703,QUEUED
gid://shopify/Product/8642986868935,QUEUED
gid://shopify/Product/8644763779271,QUEUED
gid://shopify/Product/8642987000007,QUEUED
gid://shopify/Product/8642987032775,QUEUED
